px_code,trial,item,lifetime,tense,congruence,region,region_text,gaze,rpd,tt,first_fix,reg_in,reg_out,rt_ms,rating,bio,critical
P312,3,55,living,SF,+CON,verb-1,She,NA,NA,NA,0,0,0,2868,7,Amy Schumer is American actor. She lives in New York.,"She will star in numerous comedies in the future, no doubt."
P312,3,55,living,SF,+CON,verb,will star,408,408,553,234,1,0,2868,7,Amy Schumer is American actor. She lives in New York.,"She will star in numerous comedies in the future, no doubt."
P312,3,55,living,SF,+CON,verb+1,in numerous,182,539,394,182,0,1,2868,7,Amy Schumer is American actor. She lives in New York.,"She will star in numerous comedies in the future, no doubt."
P312,3,55,living,SF,+CON,verb+2,comedies,235,235,425,123,1,0,2868,7,Amy Schumer is American actor. She lives in New York.,"She will star in numerous comedies in the future, no doubt."
P312,3,55,living,SF,+CON,verb+3,in the future,183,183,844,183,1,0,2868,7,Amy Schumer is American actor. She lives in New York.,"She will star in numerous comedies in the future, no doubt."
P312,3,55,living,SF,+CON,verb+4,no doubt.,167,1126,275,167,0,1,2868,7,Amy Schumer is American actor. She lives in New York.,"She will star in numerous comedies in the future, no doubt."
P312,5,49,living,PP,+CON,verb-1,He,NA,NA,NA,0,0,0,4674,5,Brad Pitt is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions in the past, no doubt."
P312,5,49,living,PP,+CON,verb,has starred,503,503,1179,175,1,0,4674,5,Brad Pitt is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions in the past, no doubt."
P312,5,49,living,PP,+CON,verb+1,in critically acclaimed,599,599,690,232,1,0,4674,5,Brad Pitt is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions in the past, no doubt."
P312,5,49,living,PP,+CON,verb+2,film productions,277,277,983,180,1,0,4674,5,Brad Pitt is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions in the past, no doubt."
P312,5,49,living,PP,+CON,verb+3,in the past,224,224,725,224,0,0,4674,5,Brad Pitt is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions in the past, no doubt."
P312,5,49,living,PP,+CON,verb+4,no doubt.,211,2185,211,211,0,1,4674,5,Brad Pitt is an American actor. He lives in Los Angeles.,"He has starred in critically acclaimed film productions in the past, no doubt."
P312,8,43,living,SF,+CON,verb-1,She,NA,NA,NA,0,0,0,4122,6,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She will sell well-received books in the future, no doubt."
P312,8,43,living,SF,+CON,verb,will sell,473,473,581,191,1,0,4122,6,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She will sell well-received books in the future, no doubt."
P312,8,43,living,SF,+CON,verb+1,well-received,1064,1064,1547,115,1,0,4122,6,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She will sell well-received books in the future, no doubt."
P312,8,43,living,SF,+CON,verb+2,books,180,180,449,180,0,0,4122,6,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She will sell well-received books in the future, no doubt."
P312,8,43,living,SF,+CON,verb+3,in the future,332,332,484,158,0,0,4122,6,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She will sell well-received books in the future, no doubt."
P312,8,43,living,SF,+CON,verb+4,no doubt.,138,1331,319,138,0,1,4122,6,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She will sell well-received books in the future, no doubt."
P312,10,9,living,PP,+CON,verb-1,He,NA,NA,NA,0,0,0,3762,6,Bruce Willis is an American actor. He lives in New York.,"He has performed in critically acclaimed action pictures in the past, supposedly."
P312,10,9,living,PP,+CON,verb,has performed,456,456,1181,180,1,0,3762,6,Bruce Willis is an American actor. He lives in New York.,"He has performed in critically acclaimed action pictures in the past, supposedly."
P312,10,9,living,PP,+CON,verb+1,in critically acclaimed,198,720,789,198,1,1,3762,6,Bruce Willis is an American actor. He lives in New York.,"He has performed in critically acclaimed action pictures in the past, supposedly."
P312,10,9,living,PP,+CON,verb+2,action pictures,316,316,316,166,0,0,3762,6,Bruce Willis is an American actor. He lives in New York.,"He has performed in critically acclaimed action pictures in the past, supposedly."
P312,10,9,living,PP,+CON,verb+3,in the past,313,313,313,229,0,0,3762,6,Bruce Willis is an American actor. He lives in New York.,"He has performed in critically acclaimed action pictures in the past, supposedly."
P312,10,9,living,PP,+CON,verb+4,supposedly.,368,1162,368,368,0,1,3762,6,Bruce Willis is an American actor. He lives in New York.,"He has performed in critically acclaimed action pictures in the past, supposedly."
P312,13,69,living,PP,+CON,verb-1,She,NA,NA,NA,0,0,0,2998,6,Margaret Atwood is a Canadian author. She lives in Toronto.,"She has written well-known literary works in the past, apparently."
P312,13,69,living,PP,+CON,verb,has written,262,262,784,149,1,0,2998,6,Margaret Atwood is a Canadian author. She lives in Toronto.,"She has written well-known literary works in the past, apparently."
P312,13,69,living,PP,+CON,verb+1,well-known,142,295,322,142,0,1,2998,6,Margaret Atwood is a Canadian author. She lives in Toronto.,"She has written well-known literary works in the past, apparently."
P312,13,69,living,PP,+CON,verb+2,literary works,277,277,568,160,0,0,2998,6,Margaret Atwood is a Canadian author. She lives in Toronto.,"She has written well-known literary works in the past, apparently."
P312,13,69,living,PP,+CON,verb+3,in the past,180,1020,180,180,0,1,2998,6,Margaret Atwood is a Canadian author. She lives in Toronto.,"She has written well-known literary works in the past, apparently."
P312,13,69,living,PP,+CON,verb+4,apparently.,471,471,471,471,0,0,2998,6,Margaret Atwood is a Canadian author. She lives in Toronto.,"She has written well-known literary works in the past, apparently."
P312,16,1,living,PP,+CON,verb-1,He,NA,NA,NA,0,0,0,2128,5,Eddie Redmayne is a British actor. He lives in London.,"He has appeared in numerous blockbusters in the past, supposedly."
P312,16,1,living,PP,+CON,verb,has appeared,206,206,417,206,1,0,2128,5,Eddie Redmayne is a British actor. He lives in London.,"He has appeared in numerous blockbusters in the past, supposedly."
P312,16,1,living,PP,+CON,verb+1,in numerous,162,458,557,162,1,1,2128,5,Eddie Redmayne is a British actor. He lives in London.,"He has appeared in numerous blockbusters in the past, supposedly."
P312,16,1,living,PP,+CON,verb+2,blockbusters,201,201,201,201,0,0,2128,5,Eddie Redmayne is a British actor. He lives in London.,"He has appeared in numerous blockbusters in the past, supposedly."
P312,16,1,living,PP,+CON,verb+3,in the past,338,338,338,145,0,0,2128,5,Eddie Redmayne is a British actor. He lives in London.,"He has appeared in numerous blockbusters in the past, supposedly."
P312,16,1,living,PP,+CON,verb+4,supposedly.,251,561,251,251,0,1,2128,5,Eddie Redmayne is a British actor. He lives in London.,"He has appeared in numerous blockbusters in the past, supposedly."
P312,18,76,dead,SF,-CON,verb-1,He,132,132,132,132,0,0,1609,1,Winston Churchill was a British politician. He died in London.,"He will work with important world leaders in the future, apparently."
P312,18,76,dead,SF,-CON,verb,will work,282,282,282,122,0,0,1609,1,Winston Churchill was a British politician. He died in London.,"He will work with important world leaders in the future, apparently."
P312,18,76,dead,SF,-CON,verb+1,with important,368,368,368,218,0,0,1609,1,Winston Churchill was a British politician. He died in London.,"He will work with important world leaders in the future, apparently."
P312,18,76,dead,SF,-CON,verb+2,world leaders,243,243,243,133,0,0,1609,1,Winston Churchill was a British politician. He died in London.,"He will work with important world leaders in the future, apparently."
P312,18,76,dead,SF,-CON,verb+3,in the future,242,242,242,242,0,0,1609,1,Winston Churchill was a British politician. He died in London.,"He will work with important world leaders in the future, apparently."
P312,18,76,dead,SF,-CON,verb+4,apparently.,115,115,115,115,0,0,1609,1,Winston Churchill was a British politician. He died in London.,"He will work with important world leaders in the future, apparently."
P312,21,23,living,SF,+CON,verb-1,She,NA,NA,NA,0,0,0,3015,7,Janet Jackson is an American singer. She lives in Los Angeles.,"She will play in numerous packed arenas in the future, so it's said."
P312,21,23,living,SF,+CON,verb,will play,283,283,500,160,1,0,3015,7,Janet Jackson is an American singer. She lives in Los Angeles.,"She will play in numerous packed arenas in the future, so it's said."
P312,21,23,living,SF,+CON,verb+1,in numerous,284,284,615,123,1,0,3015,7,Janet Jackson is an American singer. She lives in Los Angeles.,"She will play in numerous packed arenas in the future, so it's said."
P312,21,23,living,SF,+CON,verb+2,packed arenas,346,346,346,177,0,0,3015,7,Janet Jackson is an American singer. She lives in Los Angeles.,"She will play in numerous packed arenas in the future, so it's said."
P312,21,23,living,SF,+CON,verb+3,in the future,141,141,290,141,1,0,3015,7,Janet Jackson is an American singer. She lives in Los Angeles.,"She will play in numerous packed arenas in the future, so it's said."
P312,21,23,living,SF,+CON,verb+4,so it's said.,717,1414,717,261,0,1,3015,7,Janet Jackson is an American singer. She lives in Los Angeles.,"She will play in numerous packed arenas in the future, so it's said."
P312,23,36,dead,SF,-CON,verb-1,She,242,242,242,242,0,0,1459,1,Billie Holiday was an American singer. She died in New York.,"She will release prominent albums in the future, so it's said."
P312,23,36,dead,SF,-CON,verb,will release,189,189,189,189,0,0,1459,1,Billie Holiday was an American singer. She died in New York.,"She will release prominent albums in the future, so it's said."
P312,23,36,dead,SF,-CON,verb+1,prominent,163,163,163,163,0,0,1459,1,Billie Holiday was an American singer. She died in New York.,"She will release prominent albums in the future, so it's said."
P312,23,36,dead,SF,-CON,verb+2,albums,91,91,91,91,0,0,1459,1,Billie Holiday was an American singer. She died in New York.,"She will release prominent albums in the future, so it's said."
P312,23,36,dead,SF,-CON,verb+3,in the future,165,165,165,165,0,0,1459,1,Billie Holiday was an American singer. She died in New York.,"She will release prominent albums in the future, so it's said."
P312,23,36,dead,SF,-CON,verb+4,so it's said.,285,285,285,285,0,0,1459,1,Billie Holiday was an American singer. She died in New York.,"She will release prominent albums in the future, so it's said."
P312,26,8,dead,SF,-CON,verb-1,He,NA,NA,NA,0,0,0,1107,1,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He will appear in numerous kung-fu movies in the future, supposedly."
P312,26,8,dead,SF,-CON,verb,will appear,347,347,347,119,0,0,1107,1,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He will appear in numerous kung-fu movies in the future, supposedly."
P312,26,8,dead,SF,-CON,verb+1,in numerous,184,184,184,184,0,0,1107,1,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He will appear in numerous kung-fu movies in the future, supposedly."
P312,26,8,dead,SF,-CON,verb+2,kung-fu movies,255,255,255,125,0,0,1107,1,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He will appear in numerous kung-fu movies in the future, supposedly."
P312,26,8,dead,SF,-CON,verb+3,in the future,141,141,141,141,0,0,1107,1,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He will appear in numerous kung-fu movies in the future, supposedly."
P312,26,8,dead,SF,-CON,verb+4,supposedly.,201,201,201,201,0,0,1107,1,Bruce Lee was a Chinese-American actor. He died in Hong Kong.,"He will appear in numerous kung-fu movies in the future, supposedly."
P312,29,72,dead,SF,-CON,verb-1,She,232,232,232,232,0,0,2076,1,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She will write important scientific papers in the future, apparently."
P312,29,72,dead,SF,-CON,verb,will write,340,340,340,174,0,0,2076,1,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She will write important scientific papers in the future, apparently."
P312,29,72,dead,SF,-CON,verb+1,important,163,163,163,163,0,0,2076,1,Marie Curie was a French-Polish physicist and chemist. She died in Paris.,"She will write important scientific papers in the future, apparently."
