px,item,order,lifetime,tense,congruence,tt,gaze,rpd,region,region_num,rating,condition,rt_value,bio,critical,rating_px
1,55,3,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,55,3,living,Simple Future,Congruent,553,408,408,verb,2,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,55,3,living,Simple Future,Congruent,394,182,539,verb+1,3,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,55,3,living,Simple Future,Congruent,425,235,235,verb+2,4,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,55,3,living,Simple Future,Congruent,844,183,183,verb+3,5,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,55,3,living,Simple Future,Congruent,275,167,1126,verb+4,6,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,55,3,living,Simple Future,Congruent,NA,NA,NA,end,7,7,livingSF,2868,Amy Schumer is American actor. She lives in New York.,"She *will star* in numerous* comedies *in the future*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,NA,NA,NA,verb-1,1,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,1179,503,503,verb,2,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,690,599,599,verb+1,3,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,983,277,277,verb+2,4,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,725,224,224,verb+3,5,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,211,211,2185,verb+4,6,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,49,5,living,Present Perfect,Congruent,NA,NA,NA,end,7,5,livingPP,4674,Brad Pitt is an American actor. He lives in Los Angeles.,"He *has starred* in critically acclaimed* film productions *in the past*, no doubt.",3
1,43,8,living,Simple Future,Congruent,NA,NA,NA,verb-1,1,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
1,43,8,living,Simple Future,Congruent,581,473,473,verb,2,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
1,43,8,living,Simple Future,Congruent,1547,1064,1064,verb+1,3,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
1,43,8,living,Simple Future,Congruent,449,180,180,verb+2,4,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
1,43,8,living,Simple Future,Congruent,484,332,332,verb+3,5,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
1,43,8,living,Simple Future,Congruent,319,138,1331,verb+4,6,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
1,43,8,living,Simple Future,Congruent,NA,NA,NA,end,7,6,livingSF,4122,Chimamanda Ngozi Adichi is a Nigerian author. She lives in Nigeria and the United States.,"She *will sell* well-received* books *in the future*, no doubt.",3
